dataset,pipeline,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,ap_mean,ap_std,train_time_mean,train_time_std,classifier_time_mean,classifier_time_std,pretrain_time_mean,pretrain_time_std,link_pred_time_mean,link_pred_time_std
Email Classification,Struct-G Internal Classifier,0.5203980099502488,0.044996692754607,0.2612880426227141,0.0535208286118112,0.3002875902632868,0.05936248098461424,0.2567442786580415,0.05347305181287486,,,,,4.397298765182495,0.20866545894030114,0.2735703468322754,0.016724810577469055,4.12372841835022,0.20134813020943487,0.0,0.0
Email Classification,Struct-G Structural Only Pretrain,0.17412935323383083,0.050122989252760916,0.0268943741935874,0.010865767334290106,0.057956645843487954,0.01982713869905097,0.03048431524525357,0.012804625452997964,,,,,2.9674785137176514,0.728613152060564,0.2806337833404541,0.019818118180159248,2.686844730377197,0.720459498088424,0.0,0.0
Email Link Prediction,Deep GCN,0.5000434404865335,9.713588086442688e-05,0.5000217249619813,4.8578491798837014e-05,1.0,0.0,0.6666859763456432,4.3177754815352756e-05,0.5245953543211396,0.2893122664959511,0.5957123830016714,0.2293595070203309,11.361660003662106,0.5207518585024512,0.0,0.0,0.5763667583465576,0.039209958290108905,10.785293245315549,0.5048456231010631
Email Link Prediction,GPT-GNN,0.5165821868211441,0.027696808061147105,0.5135120916070635,0.023643423759145795,0.5692493362297852,0.07835558068228626,0.538875946636773,0.04800700178260213,0.5201105086449325,0.036682081574074814,0.5098833944797965,0.027832433210971383,63.53337779045105,0.6589885535439649,0.0,0.0,49.35626616477966,0.2520034754639476,14.177111625671383,0.7015840877467547
Email Link Prediction,SimpleGAT,0.5425615763546798,0.007286645157478119,0.5222675330041181,0.0039844068747130965,0.9992118226600984,0.0008242955926444128,0.6859786284431395,0.003565465721865582,0.7951397024921741,0.034164155064392646,0.7331691824959151,0.03521740175089226,4.493492698669433,0.42034932945946374,0.0,0.0,,,4.493492698669433,0.42034932945946374
Email Link Prediction,SimpleGNN,0.5294761532447224,0.004285549593706771,0.515214824012235,0.0022828109733150736,0.9986708365910868,0.0007101603645264328,0.6797449394890076,0.001964235861834912,0.7085754514038956,0.057338872773438736,0.6867816584434425,0.08818522628444853,1.2758431434631348,0.06379237933035475,0.0,0.0,,,1.2758431434631348,0.06379237933035475
Email Link Prediction,SimpleGraphSAGE,0.5891970802919708,0.012576951587167581,0.5491595368362944,0.007687876916735042,0.998029197080292,0.0007568044289535996,0.7084548999454148,0.0063006403434487,0.9192938355799457,0.0046946143370629025,0.9067205856151803,0.0037608928259463084,11.136763429641722,1.3843174820179316,0.0,0.0,0.0,0.0,11.136763429641722,1.3843174820179316
Email Link Prediction,Struct-G Internal Classifier,0.6574712643678161,0.03868170467617445,0.9270684403601159,0.016665111154252062,0.34147126436781605,0.08264593221871343,0.4943093659849865,0.09588526884657755,0.8936286959968293,0.016458439471781865,0.8759176849109039,0.023863422743148687,6.862192392349243,0.2776788521927088,0.0,0.0,4.12372841835022,0.20134813020943487,2.7384639739990235,0.3176667871986865
Email Link Prediction,Struct-G Structural Only Pretrain,0.5410685548760863,0.047457713157534206,0.572483853035803,0.5226669036065752,0.08648213710975217,0.10037891843924056,0.14585575999358658,0.16398457623704574,0.8891629406236051,0.03647614991066695,0.8818872289649157,0.03727504662373297,6.687677907943725,0.7155455135140383,0.0,0.0,2.686844730377197,0.720459498088424,4.000833177566529,0.11937415419281036
GitHub Classification,Deep GCN,0.8383713527851459,0.01115548769369911,0.8290004181582615,0.003013712396694582,0.7236742925846148,0.02949267443531958,0.7521828031034417,0.029163478597669264,,,,,0.956456184387207,0.9103877778765136,0.2574933052062988,0.03590090053238651,0.6989628791809082,0.8862263630576015,0.0,0.0
GitHub Classification,GPT-GNN,0.7405039787798409,0.004163062160013435,0.37025198938992043,0.0020815310800067306,0.5,0.0,0.42545113654837274,0.0013760453467730855,,,,,2580.040589237213,32.029341505883664,2.6677634716033936,0.7801195765391052,2577.37282576561,31.512710550739403,0.0,0.0
GitHub Classification,SimpleGAT,0.8524668435013263,0.002309749380429725,0.847840155265227,0.005675214001998321,0.7502829360423495,0.0028138208582096196,0.7805825656421328,0.00320310526385339,0.7502829360423495,0.0028138208582096946,,,0.42706751823425293,0.05647346984737354,0.42706751823425293,0.05647346984737354,,,0.0,0.0
